,selected_text,text,sentiment
2224,It`s cause you give me a reason to assume.,It`s cause you give me a reason to assume.  - http://tweet.sg,neutral
17844,i want a marty mcflyy t-shirt.,_Carroll i want a marty mcflyy t-shirt.,neutral
25717,at school right now,at school right now,neutral
6645,Installing a new hard drive! Gotta redo everything though,Installing a new hard drive! Gotta redo everything though,neutral
25907,Last day for our professional interns,Last day for our professional interns,neutral
23405,Not quite sure what ace of cakes is or are. Gosh I`m tired. Loved bride wars. Fun night.,Not quite sure what ace of cakes is or are. Gosh I`m tired. Loved bride wars. Fun night.,neutral
15594,_Foster Just so i can see how they look with the other icons. Both themes btw.,_Foster Just so i can see how they look with the other icons. Both themes btw.,neutral
11230,Busssssss with everyone!  yayyy!,Busssssss with everyone!  yayyy!!!!!!!,neutral
22728,My computer is SO slooowww this morning.  I think it`s a sign that I should go home and play in my yard.,My computer is SO slooowww this morning.  I think it`s a sign that I should go home and play in my yard.,neutral
8728,"_magazine thats no dream for me, thats reality  CS4 is on my wishlist","_magazine thats no dream for me, thats reality  CS4 is on my wishlist",neutral
24586,"is bak in mcr....glad i can sleep in ma own bed 2nite yeyah...but i fink i,m missin popeye  hopin 2 c him 2moz  ****","is bak in mcr....glad i can sleep in ma own bed 2nite yeyah...but i fink i,m missin popeye  hopin 2 c him 2moz  ****",neutral
22322,"Denny`s with Mike, Pat, and Jessie.","Denny`s with Mike, Pat, and Jessie.",neutral
17722,www.youtube.com/watch?v=6UrRxta8doM this was the first 1!, www.youtube.com/watch?v=6UrRxta8doM this was the first 1!,neutral
7787,Aaggh!! My blackberry curve took a gash in the screen the day AFTER we get invisible shields in stock. Well it`ll be a good advertisement,Aaggh!! My blackberry curve took a gash in the screen the day AFTER we get invisible shields in stock. Well it`ll be a good advertisement,neutral
8315,I have got my smile, I have got my smile,neutral
26987,aw how to lose a guy in ten days  <3,aw how to lose a guy in ten days  <3,neutral
1153,oh no.  *hugs*,_tah oh no.  *hugs*,neutral
10422,"*YAAAWN* Stayed up too late last night, still gotta work & get up super early tomorrow","*YAAAWN* Stayed up too late last night, still gotta work & get up super early tomorrow",neutral
137,"Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it."," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral
7612,"agreed  it did take me a little while to find my way on stocktwits, but once I did, I cant imagine working w/o it"," agreed  it did take me a little while to find my way on stocktwits, but once I did, I cant imagine working w/o it",neutral
1230,the suns starting to go in  im getting coldddd!,the suns starting to go in  im getting coldddd!,neutral
26969,No sucky, No sucky,neutral
14097,so Roman is now on pain killers and some LQ meds. Thanks Jess for agreeing to go get him yogurt before you go out!,so Roman is now on pain killers and some LQ meds. Thanks Jess for agreeing to go get him yogurt before you go out!,neutral
21121,I`m entering your contest, I`m entering your contest,neutral
11985,"shopping with  tonight, cant wait!  Lucky ****  has already finished work  im stuck here foreve","shopping with  tonight, cant wait!  Lucky ****  has already finished work  im stuck here forever!",neutral
18146,just a question.. are you guys liek famous or anything ? haha and MILEY FOLLOWED YOU LUCKKYY ! im so jealous, just a question.. are you guys liek famous or anything ? haha and MILEY FOLLOWED YOU LUCKKYY ! im so jealous,neutral
24771,@ metro with achan,@ metro with achan,neutral
14823,; why is the font so huge?! small fonts rock socks,; why is the font so huge?! small fonts rock socks,neutral
1946,yeah that too, yeah that too,neutral
20332,Nice place. Missing Shan-e-Punjab though..., Dun wanna travel all the way there for lunch now. But yeah i have been there. Nice place. Missing Shan-e-Punjab though...,neutral
10211,I miss all you OK girls.    Happy Mother`s Day to all y`al,  I miss all you OK girls.    Happy Mother`s Day to all y`all.,neutral
955,My legs are killing me now.  but i know it`s a good pain all in all.,My legs are killing me now.  but i know it`s a good pain all in all.,neutral
12817,I would think you`d want to follow me., I would think you`d want to follow me.,neutral
22643,I was the blue  lol http://twitpic.com/67zgz,I was the blue  lol http://twitpic.com/67zgz,neutral
27279,"i was watching Harpers Island, lol... there was no vodka involved"," i was watching Harpers Island, lol... there was no vodka involved",neutral
9321,Are you still taking calls? We were next to talk to you and we got disconnected before you got now., Are you still taking calls? We were next to talk to you and we got disconnected before you got now.,neutral
12822,K - I can hack if I have directions   have multiple social net sites & I think this is a cool add but we chose not 2 go MU, K - I can hack if I have directions   have multiple social net sites & I think this is a cool add but we chose not 2 go MU,neutral
27450,did you find the Colossus yet?, did you find the Colossus yet?,neutral
14241,72-65 Cavs! The score is and was! LOL, 72-65 Cavs! The score is and was! LOL,neutral
24591,Glad it`s Friday... but bummed that I am officially working Saturdays.,Glad it`s Friday... but bummed that I am officially working Saturdays.,neutral
12358,well nothing. I can give you a pen., well nothing. I can give you a pen.,neutral
15865,wants to buy really red* lipstick. But I won`t wear it that often,wants to buy really red* lipstick. But I won`t wear it that often,neutral
26783,"c is nice, but I wouldn`t call it fun"," c is nice, but I wouldn`t call it fun",neutral
11898,That is messed up. I hope your day gets better., That is messed up. I hope your day gets better.,neutral
26207,Oh come on!!! You get next week off and I get next week full of exams!, Oh come on!!! You get next week off and I get next week full of exams!,neutral
19075,"Ugh, I feel like ****-- gonna call out of my classes today  hope it doesnt affect my grade","Ugh, I feel like ****-- gonna call out of my classes today  hope it doesnt affect my grade",neutral
9251,Fidel has no balls,Fidel has no balls,neutral
12834,_  me too!,_  me too!,neutral
14667,It`s Just So Audioo.,It`s Just So Audioo.,neutral
18783,targeted browser for what?! I just read that Windows Mobile uses the IE6 core as its default., targeted browser for what?! I just read that Windows Mobile uses the IE6 core as its default.,neutral
576,mozart`s requiem!,mozart`s requiem!,neutral
11734,gonna eat pizza. what are you doing??,gonna eat pizza. what are you doing??,neutral
26593,"Ok, sending me messages asking to set my blog live won`t work (linked to my developing website)! Take a tip from  and be patient!","Ok, sending me messages asking to set my blog live won`t work (linked to my developing website)! Take a tip from  and be patient!",neutral
11179,at home with her fam  see you in CoMo tomorrow!,at home with her fam  see you in CoMo tomorrow!,neutral
3790,Dinner with the family. Watching wild child in the car,Dinner with the family. Watching wild child in the car,neutral
26167,u a hard time hehe," i knew that, jus givin u a hard time hehe",neutral
15171,I feel 5 pounds lighter,I feel 5 pounds lighter,neutral
4212,Finallyy done !! And done clean`n lay`n down time 4 bed.. goshh its 3 o`clock !! Lol nite nite twitta heads,Finallyy done !! And done clean`n lay`n down time 4 bed.. goshh its 3 o`clock !! Lol nite nite twitta heads,neutral
1287,going to work till 3...then maybe ride the horses and take my sister to softball pratice,going to work till 3...then maybe ride the horses and take my sister to softball pratice,neutral
23562,I`m getting more and more reactions when stroking the cat.  Now I have welts on my hands from where she caught me with her claws.,I`m getting more and more reactions when stroking the cat.  Now I have welts on my hands from where she caught me with her claws.,neutral
14396,lol wow I`m watching X-men: The last Stand right now too, http://twitpic.com/4vw9a - lol wow I`m watching X-men: The last Stand right now too,neutral
4663,Off to see the Doc in a bit to get the knee checked out,Off to see the Doc in a bit to get the knee checked out,neutral
7535,Has an hour left of revision,Has an hour left of revision,neutral
1316,"super late for work, and got an earful from the PSYCHOPATH. GRRRR! Day, please get better","super late for work, and got an earful from the PSYCHOPATH. GRRRR! Day, please get better",neutral
11057,hiya!  did you get a picture of your converse?? GET YOUR CONVERSE OUT!,  hiya!  did you get a picture of your converse?? GET YOUR CONVERSE OUT!,neutral
24098,Another night of not sleeping,Another night of not sleeping,neutral
16742,I`ll give u an icecream ?, I`ll give u an icecream ?,neutral
24902,Welcome new followers also,Welcome new followers also,neutral
13763,u said u was gonna follow  its nita from ur live chat, u said u was gonna follow  its nita from ur live chat,neutral
1226,"Oh yes..i think almost every Tuesday in June. Which dresss, I just bought one, then felt guilty and took it back"," Oh yes..i think almost every Tuesday in June. Which dresss, I just bought one, then felt guilty and took it back",neutral
17075,Going home.. no meeting today,Going home.. no meeting today,neutral
6006,Twitter connected with FAcebook,Twitter connected with FAcebook   http://twitter.com/paynetsystems & http://tinyurl.com/dagmoq,neutral
12809,yes indeed, yes indeed                                                                                               here I am again,neutral
10503,heLLo tayLor.. just wanna say i`ve aLready voted 4 u i think 5 times..haha, heLLo tayLor.. just wanna say i`ve aLready voted 4 u i think 5 times..haha,neutral
1237,yes not for putting inside anything else, yes not for putting inside anything else,neutral
9195,"Hehe...until it comes back, your FB friends get a Twitter respite huh? JK!"," Hehe...until it comes back, your FB friends get a Twitter respite huh? JK!",neutral
10232,theres a holy version of hell? lol...i cant stop. i need for it to be a trending topic!  be nice (*whispering #redmango)lol,_Brown theres a holy version of hell? lol...i cant stop. i need for it to be a trending topic!  be nice (*whispering #redmango)lol,neutral
11667,good morning. today is my last day of 'freedom'. back to work tomorrow. i`m sorta stoked-not stoked. but well.,good morning. today is my last day of 'freedom'. back to work tomorrow. i`m sorta stoked-not stoked. but well.,neutral
12255,Please play in my movie,  Please play in my movie,neutral
11418,Off To Do Pilates Now! Tweet Y`all Soon!,Off To Do Pilates Now! Tweet Y`all Soon!,neutral
12453,Hope I get a job cuz we need an apartment. I`m drunk & miss my lil punkin  TEHE!!!,Hope I get a job cuz we need an apartment. I`m drunk & miss my lil punkin  TEHE!!!,neutral
16033,"EH! u dont like retro? tisk tisk, what u been upto? ...apart from waxing ur 'mustache' lol"," EH! u dont like retro? tisk tisk, what u been upto? ...apart from waxing ur 'mustache' lol",neutral
14508,http://twitpic.com/4jccd - and also these hi top Reeboks.  cause i can,http://twitpic.com/4jccd - and also these hi top Reeboks.  cause i can,neutral
3414,"**** none. But yea last weekend was crazy, i think i partied to hard, thats why im sic."," **** none. But yea last weekend was crazy, i think i partied to hard, thats why im sic.",neutral
18066,Just came back from school.... Packing for my dad`s house,Just came back from school.... Packing for my dad`s house,neutral
8171,"Aw, sorry about your cat   No worries about the blankets, I was just wondering, I`m in no rush, take your time"," Aw, sorry about your cat   No worries about the blankets, I was just wondering, I`m in no rush, take your time!",neutral
20457,"Hello James, who are you"," Hello James, who are you",neutral
14976,in the sun and changing my default icon just for you  what`re your plans?, in the sun and changing my default icon just for you  what`re your plans?,neutral
9275,"yes i love it  its just a little bit complicated,","_mueller yes i love it  its just a little bit complicated, because i want it on my BB , but it doesnt work",neutral
4025,I`m sad Twits!  I`m going to miss  musiq soulchild and anthony hamilton! Ugggghhhh I LOVE them,I`m sad Twits!  I`m going to miss  musiq soulchild and anthony hamilton! Ugggghhhh I LOVE them!,neutral
20224,"Yes thanks, its been great. Soooooo not looking forward to Monday","  Yes thanks, its been great. Soooooo not looking forward to Monday",neutral
5700,not really  Just have to install OS X on a harddrive and get it to boot on schools iMacs., not really  Just have to install OS X on a harddrive and get it to boot on schools iMacs.,neutral
4150,I`m researching NYC stuff., I`m researching NYC stuff.,neutral
3666,Very true.  And well behaved women rarely make history., Very true.  And well behaved women rarely make history.,neutral
27109,"just finished an exam, every1 else has finished cos I chose i different course to my friends I have one more exam on Thurs next week","just finished an exam, every1 else has finished cos I chose i different course to my friends I have one more exam on Thurs next week",neutral
2581,such.a.tease.,such.a.tease.,neutral
1823,Bank holiday rock seems so fitting  ? http://blip.fm/~5jg16,Bank holiday rock seems so fitting  ? http://blip.fm/~5jg16,neutral
13427,"hahaha. I`m driving, so I leave roundabouts when I wake up tomorrow. Arrive proximately 5 hrs from then.  See ya tmw!"," hahaha. I`m driving, so I leave roundabouts when I wake up tomorrow. Arrive proximately 5 hrs from then.  See ya tmw!",neutral
4644,"oh, I am sorry my friend. Katie & I will do our best to keep you cheery"," oh, I am sorry my friend. Katie & I will do our best to keep you cheery",neutral
19618,Exactly 2 weeks left in Sigma,Exactly 2 weeks left in Sigma,neutral
14974,"Hey boys, do you wanna see my teeth?"," Hey boys, do you wanna see my teeth? (**** it, twitter donï¿½t wanna change my picture)",neutral
6236,No 1 evr brngs me a starbux!,No 1 evr brngs me a starbux!   *~CoRiEoGrApHy~*,neutral
5257,I don`t have any, I don`t have any,neutral
22379,i know i`m changin it again,  i know i`m changin it again,neutral
4763,Trying to figure out how to use this twitter thing  Hahhh,Trying to figure out how to use this twitter thing  Hahhh,neutral
19306,right., right.,neutral
13048,Friday Night and working,Friday Night and working,neutral
6489,maybe you need to start a 'wholey created by evolution' or 'wholely composed of matter' flickr group, maybe you need to start a 'wholey created by evolution' or 'wholely composed of matter' flickr group,neutral
3602,"in heaven, i`ll go everywhere","_mcflyandjb in heaven, i`ll go everywhere",neutral
20261,I wanna talk to Mitchel Mussoooooo,I wanna talk to Mitchel Mussoooooo,neutral
7060,"would have been better, IMO, if it let you play through all 3 songs provided. I just start to 'get it' and it blacks out."," would have been better, IMO, if it let you play through all 3 songs provided. I just start to 'get it' and it blacks out.",neutral
10776,Waiting in a long line at chick-fil-a,Waiting in a long line at chick-fil-a,neutral
5006,my babe,http://twitpic.com/4w5sy - my babe,neutral
1514,"Off to the shelters around me to look for her.  I hope she is okay, so afraid that she is going to get hit by a car. Can`t stop crying","Off to the shelters around me to look for her.  I hope she is okay, so afraid that she is going to get hit by a car. Can`t stop crying",neutral
3912,I want to talk with but the calls are so expensive  I LOVE YOU, I want to talk with but the calls are so expensive  I LOVE YOU,neutral
23623,been To beach+ nanny`s Just got back- roast Iater and then Pudding,been To beach+ nanny`s Just got back- roast Iater and then Pudding,neutral
9020,Hangover,Hangover,neutral
16388,sorry. Too **** funny!,http://twitpic.com/4wegx -  Lol.. sorry. Too **** funny!,neutral
5086,I cant watch anythgin till tonight,I cant watch anythgin till tonight,neutral
5836,"you are now famous in Houston, take a look  http://is.gd/ysA","  you are now famous in Houston, take a look  http://is.gd/ysAh",neutral
11668,You are very lucky!!! My legs did not like how long it takes to dry my hair this morning., You are very lucky!!! My legs did not like how long it takes to dry my hair this morning.,neutral
8739,yeah- there was definitely a pillow fight., yeah- there was definitely a pillow fight.,neutral
26354,!! WE WILL MISS THOMAS  BUT HAVE TO MOVE ON. SO WATCH THIS!, !! WE WILL MISS THOMAS  BUT HAVE TO MOVE ON. SO WATCH THIS! http://bit.ly/r6RfC,neutral
21951,"happy birthday, amber! hope it`s a great one...and - you`re far away from thirty...shhh...you`re making us 29`ers feel sad!"," happy birthday, amber! hope it`s a great one...and - you`re far away from thirty...shhh...you`re making us 29`ers feel sad!",neutral
11046,eww  What r u doing atm?, eww  What r u doing atm?,neutral
22291,Sent u a few DM`s..Hollaback, Sent u a few DM`s..Hollaback,neutral
22422,_  Leiiin I can play the introoo,_  Leiiin I can play the introoo,neutral
18804,"crazy, we live in a small world, and now u live in covina huh? Thas where im @ but back to chino i goooo"," crazy, we live in a small world, and now u live in covina huh? Thas where im @ but back to chino i goooo",neutral
23896,Trying to sell my GM stock,Trying to sell my GM stock,neutral
21771,Friends! Come over and give me a massage  I can`t sleep.,Friends! Come over and give me a massage  I can`t sleep.,neutral
741,and  the Creative VADO`s are out of stock at walmart.com (missed it)  but thanks for tweeting about, and  the Creative VADO`s are out of stock at walmart.com (missed it)  but thanks for tweeting about it,neutral
11411,thats bad your been forced to watch that  there must be a helpline you can call ?  we are both good thanx he`s asleep, thats bad your been forced to watch that  there must be a helpline you can call ?  we are both good thanx he`s asleep,neutral
14593,"Off to bed after hours on the phone gossiping with Bia, lol. Nite nite, sleep tight!","Off to bed after hours on the phone gossiping with Bia, lol. Nite nite, sleep tight!",neutral
8763,Is pretty hammered drunk! Props to me! Two nights in a row!!!,Is pretty hammered drunk! Props to me! Two nights in a row!!!,neutral
18598,Things that happened today:  My younger brother ran over one of our dogs. Yeah. I know.  She`s going to have surgery this weekend.,Things that happened today:  My younger brother ran over one of our dogs. Yeah. I know.  She`s going to have surgery this weekend.,neutral
26964,Business exam tomorrow,Business exam tomorrow,neutral
22468,is new to twitter.... needs some studying here,is new to twitter.... needs some studying here,neutral
3337,so sad but there is a reason as to why lol, yeah dnt go there.. I have 3 dif apps on my phone for it  so sad but there is a reason as to why lol,neutral
15494,Its been a fun afternoon for me trying though....BBQ`s out now though...feeling a bit sick, Its been a fun afternoon for me trying though....BBQ`s out now though...feeling a bit sick,neutral
13143,"Yes, you can change your name under settings"," Yes, you can change your name under settings",neutral
10519,I only have one day left in school  My 16th is approaching,I only have one day left in school  My 16th is approaching,neutral
26897,It smells like the beach from my job..,It smells like the beach from my job..,neutral
10248,just in imagination,just in imagination,neutral
11609,Cloudy today,Cloudy today,neutral
23749,I`ll say  Even I don`t do Dominos anymore - I prefer Pizza Hut`s crunchy fresh veggie pizzas, I`ll say  Even I don`t do Dominos anymore - I prefer Pizza Hut`s crunchy fresh veggie pizzas,neutral
12676,"nvm, i`ll stop. whatever. see you 5th i guess","nvm, i`ll stop. whatever. see you 5th i guess",neutral
16839,I work tomorrow, I work tomorrow,neutral
26739,That`s more like it - 3rd  #fb,That`s more like it - 3rd  #fb,neutral
8084,"My college, My friends","http://pic.gd/63ef My college, My friends",neutral
24397,I only ever seem to listen to Dirty these days. Most of our CD`s are still at Greg`s parents, I only ever seem to listen to Dirty these days. Most of our CD`s are still at Greg`s parents,neutral
26222,Theres a fricken prisnor trans outside r hotel!  3/10 so far,Theres a fricken prisnor trans outside r hotel!  3/10 so far,neutral
18915,Shaw guys are over when I want to be sleeping,Shaw guys are over when I want to be sleeping,neutral
27301,I`m like so upset with you.. haha.., I`m like so upset with you.. haha.. you never told me the 411..,neutral
20009,"Josette....where are you??   I looked across the pond, but you are nowhere to be found.","Josette....where are you??   I looked across the pond, but you are nowhere to be found.",neutral
14882,"LOL, very true. I`ve been keeping an eye out for that - they arent very tech savvy so I`ve been alright thus far"," LOL, very true. I`ve been keeping an eye out for that - they arent very tech savvy so I`ve been alright thus far",neutral
19226,just got back from school.  SHEMMS!! Summer class has been officially ended.  http://plurk.com/p/wxsgy,just got back from school.  SHEMMS!! Summer class has been officially ended.  http://plurk.com/p/wxsgy,neutral
2146,Its too early,Its too early,neutral
13593,I want a fake BLT....,I want a fake BLT....,neutral
11632,"Poor Beta, I took him to Seattle, riding on my lap on the plane. He was happy here until our week long outage-cold did him in"," Poor Beta, I took him to Seattle, riding on my lap on the plane. He was happy here until our week long outage-cold did him in",neutral
4955,coffee and gym... starting the day off right!!,coffee and gym... starting the day off right!!,neutral
6810,"Same as, it`s BS I tell you! Ah well, better attempt some"," Same as, it`s BS I tell you! Ah well, better attempt some",neutral
21668,"I have been called by my friend the bed. It is time to acknowledge the inevitable.  Goodnight All, Hello Sleep","I have been called by my friend the bed. It is time to acknowledge the inevitable.  Goodnight All, Hello Sleep",neutral
19720,"ok, I want to quit my job.....","ok, I want to quit my job.....",neutral
11017,Today I`m lonley girl with a guitar,Today I`m lonley girl with a guitar,neutral
26935,I saw the pic. You surely don`t look like Amisha Patel nor like a mum of one, I saw the pic. You surely don`t look like Amisha Patel nor like a mum of one,neutral
20045,"Getting ready to meet Laura!  Than training, even if I`m sick.","Getting ready to meet Laura!  Than training, even if I`m sick.",neutral
7081,time to lie in bed and watch tv,time to lie in bed and watch tv,neutral
18241,LOL! I hate when that happens!! All hyped up and its over before you know it! Lunch sounds nice..hope you have a nice time., LOL! I hate when that happens!! All hyped up and its over before you know it! Lunch sounds nice..hope you have a nice time.,neutral
15356,http://twitpic.com/4jaw9 it`s the frog who`s been attacking Chelsey..LOL! Funny,http://twitpic.com/4jaw9 it`s the frog who`s been attacking Chelsey..LOL! Funny,neutral
380,"yeah real hard, but I know you`ll get by with it... smile"," yeah real hard, but I know you`ll get by with it... smile",neutral
17775,"im sure  s`okay, ill save my $$ and before u know it weiss will be mine."," im sure  s`okay, ill save my $$ and before u know it weiss will be mine.",neutral
24474,_spn your boyfriend didn`t even say bye!,_spn your boyfriend didn`t even say bye!,neutral
3657,just showin some love to ya. and i`m really gonna miss Greg Beeman`s directing next season. ya`ll`s commentaries r so funny, just showin some love to ya. and i`m really gonna miss Greg Beeman`s directing next season. ya`ll`s commentaries r so funny,neutral
27382,Happy Sammy is going 2 here 2morrow!! But unfortunatly I`m not gone be able 2 go 2 the club he performing @,Happy Sammy is going 2 here 2morrow!! But unfortunatly I`m not gone be able 2 go 2 the club he performing @,neutral
26451,FRUITY PEBBLES?! What? Over Lucky Charms, FRUITY PEBBLES?! What? Over Lucky Charms,neutral
22039,is up and ready,is up and ready,neutral
12849,Wanna come with?  Before we go to Myka`s party., Wanna come with?  Before we go to Myka`s party.,neutral
12003,"and it`s off to work I go, only 9.5 days until the kiddo`s finish","and it`s off to work I go, only 9.5 days until the kiddo`s finish",neutral
23125,Hey! whats up? Im just at the library right now and the comp is about to sign me out, Hey! whats up? Im just at the library right now and the comp is about to sign me out,neutral
12174,I`m no longer a sophomore.  Junior year is bringing new things. I`ll be on 24/7 now. Hit me up and check out  http://bit.ly/esGIQ,I`m no longer a sophomore.  Junior year is bringing new things. I`ll be on 24/7 now. Hit me up and check out  http://bit.ly/esGIQ,neutral
4857,"All this talk of buttershots has me wanting some!  Maybe I`ll have a small bit over ice, I haven`t had any since faire.","All this talk of buttershots has me wanting some!  Maybe I`ll have a small bit over ice, I haven`t had any since faire.",neutral
14674,"Oh no, hubs is so sick! I hope I don`t catch it","Oh no, hubs is so sick! I hope I don`t catch it",neutral
20242,is celebrating her 21st birthday,is celebrating her 21st birthday,neutral
7660,this movie isn`t hard but good,I saw Thirst which is korean movie made by chan-wook Park . this movie isn`t hard but good,neutral
13981,"yeah but they had to come barcelona, because not all the fans can be in that concert  COME BARCELONA! JESSI TE QUIERO"," yeah but they had to come barcelona, because not all the fans can be in that concert  COME BARCELONA! JESSI TE QUIERO",neutral
19523,... Yes.  That`s what I said., ... Yes.  That`s what I said.,neutral
24718,At an art party. No crazy artists as such. Bit padestrian. No skanking,At an art party. No crazy artists as such. Bit padestrian. No skanking,neutral
22024,I miss having nothing to do except lay out beside the pool every day of the summer.  That was much better than spending all day in class.,I miss having nothing to do except lay out beside the pool every day of the summer.  That was much better than spending all day in class.,neutral
8262,time to get ready for work,time to get ready for work,neutral
3880,"The first thing she said means 'Your new album is really good' and the second thing, 'Don`****`s broken'. I am Persian!"," The first thing she said means 'Your new album is really good' and the second thing, 'Don`****`s broken'. I am Persian!",neutral
12775,way i bought it today aswell now i have it twice cos i pre ordered it aswell  cya later x!, way i bought it today aswell now i have it twice cos i pre ordered it aswell  cya later x!,neutral
20445,"oh I see. Thanks for replying. anyway, how are you?","_Lovato oh I see. Thanks for replying. anyway, how are you?",neutral
5622,big hair rock day today me thinks  here I go again to start xxxxx ? http://blip.fm/~5z4p7,big hair rock day today me thinks  here I go again to start xxxxx ? http://blip.fm/~5z4p7,neutral
7580,pictures ross., pictures ross.,neutral
6507,I want some....LOL  I got the coffee ha ha, I want some....LOL  I got the coffee ha ha,neutral
12560,I`m at church now..bout to od on my smoothie bc it might be melted when I come back,I`m at church now..bout to od on my smoothie bc it might be melted when I come back,neutral
24646,just got home.,just got home.,neutral
1537,pmsl ... We had **** everywhere too. But NO More. Love it. My wool stash today though, pmsl ... We had **** everywhere too. But NO More. Love it. My wool stash today though,neutral
7646,I want to be like Horatio Caine,I want to be like Horatio Caine,neutral
9948,off to bed with my sore ****,off to bed with my sore ****,neutral
1017,Very content with my life at the moment,Very content with my life at the moment,neutral
25233,Twitter criado.,Twitter criado.,neutral
18928,_boo jealous  can you add `and I really wish nicole was here..but we all know what she`s really doing` to that tweet?,_boo jealous  can you add `and I really wish nicole was here..but we all know what she`s really doing` to that tweet?,neutral
13044,could you post a link to the internet version of the times so that I can read it pllleeeaaassseeeeee!, could you post a link to the internet version of the times so that I can read it pllleeeaaassseeeeee!!!!,neutral
19489,On my way to Ft. Knox,On my way to Ft. Knox   http://myloc.me/1Zyg,neutral
15583,http://twitpic.com/67kb6 - Sad day!  What a great guy and enthusiastic teacher., http://twitpic.com/67kb6 - Sad day!  What a great guy and enthusiastic teacher.,neutral
7250,in bed watching Rove,in bed watching Rove,neutral
16546,I dont understand sensex..but wow!, I dont understand sensex..but wow!,neutral
24708,wishing i had marvelous misadventures of flap jack on DVD,wishing i had marvelous misadventures of flap jack on DVD,neutral
23966,It`s been doing it for two days. We have a comcast technician scheduled for tomorrow morning., It`s been doing it for two days. We have a comcast technician scheduled for tomorrow morning.,neutral
19375,Making a milo,Making a milo,neutral
13387,"Thinking about Con Law, fighting a headache, & Paying bills...","Thinking about Con Law, fighting a headache, & Paying bills...",neutral
11976,im such a sucker for great cottys,im such a sucker for great cottys,neutral
20641,i want a ghd straightener but the shipping costs 50 pounds? NO DEAL!,i want a ghd straightener but the shipping costs 50 pounds? NO DEAL!,neutral
19508,Not yet. I hope to check it out this week., Not yet. I hope to check it out this week.,neutral
22394,just checked again and it worked!! Sorry, just checked again and it worked!! Sorry,neutral
6703,and so to London in a car that`s about 500 degrees with no air con!,and so to London in a car that`s about 500 degrees with no air con!,neutral
1033,#bash,??????? #bash ?? ??????? ????????? ????,neutral
14880,Yay! Thank you.. Feels like ur yelling at us   LO, Yay! Thank you.. Feels like ur yelling at us   LOL,neutral
4096,yeah... i guess my password was also changed... i was not able to login my FB  cahnge my pw again ...ufff, yeah... i guess my password was also changed... i was not able to login my FB  cahnge my pw again ...ufff,neutral
8364,TODAY IS A GOOD DAY BUT ITS COLD,TODAY IS A GOOD DAY BUT ITS COLD,neutral
11090,_ary aaaww fall for you of courseeee,_ary aaaww fall for you of courseeee,neutral
14753,In class till 12  wishing the rain would go away!!,In class till 12  wishing the rain would go away!!,neutral
11410,"i guess that means you didn`t beta-read either of my stories, huh?"," i guess that means you didn`t beta-read either of my stories, huh?",neutral
11247,Haha. Lacey just shutdown the livestream. Party time,Haha. Lacey just shutdown the livestream. Party time,neutral
20271,eat (cup)cake, eat (cup)cake,neutral
20249,i feel some type of way cause im not talkin to anyone...,i feel some type of way cause im not talkin to anyone...,neutral
16446,Get me one of those and maybe next time, http://www.thinkgeek.com/books/nonfiction/b322/ <-- Get me one of those and maybe next time,neutral
15510,are you call that winning?, are you call that winning?,neutral
24317,Hate this song  ? http://blip.fm/~5jg6f,Hate this song  ? http://blip.fm/~5jg6f,neutral
12762,Looking for a vibrating phone is like trying to find 'a feeling.',Looking for a vibrating phone is like trying to find 'a feeling.',neutral
10300,"Yes, apnea, but it`s not the prob. I`m on meds that might be causing this.  they help otherwise so much, don`t want to stop","_magician Yes, apnea, but it`s not the prob. I`m on meds that might be causing this.  they help otherwise so much, don`t want to stop",neutral
5102,getting ready so i can go out,getting ready so i can go out,neutral
11128,_x Who Else do you Loveee?,_x Who Else do you Loveee?,neutral
4011,he won`t reply, he won`t reply,neutral
15395,didn`t know you were on twitter! Coming to the show tomorrow?? Lorraine can`t make it, didn`t know you were on twitter! Coming to the show tomorrow?? Lorraine can`t make it,neutral
3511,please @ reply me if you win! Thanks!,Tapit:E446WWHLLYAR TK3H6694PRMP 9R46TAHXEFKT please @ reply me if you win! Thanks!,neutral
21102,im talking about twitter some more,im talking about twitter some more,neutral
21594,not Pimm`s in a can?,  not Pimm`s in a can?,neutral
3562,I didn`t get the job  but I will keep applying to other school.....I do want to teach!!!,I didn`t get the job  but I will keep applying to other school.....I do want to teach!!!,neutral
2074,"I wish I could buy blink 182 presale tickets, but I totally don`t have the money right now. Guess I have to wait for general admission...","I wish I could buy blink 182 presale tickets, but I totally don`t have the money right now. Guess I have to wait for general admission...",neutral
19917,rip grandpa  graduation today...,rip grandpa  graduation today...,neutral
5015,it doesn`t work with the iPhone yet   I love it for the simplicity but I need to be able to sort tasks on my iPhone to be useful, it doesn`t work with the iPhone yet   I love it for the simplicity but I need to be able to sort tasks on my iPhone to be useful,neutral
22840,"ew, tongue kiss"," ew, tongue kiss",neutral
8561,Crawling into my den for the night now.,Crawling into my den for the night now.,neutral
27253,Just spent more than 45 minutes looking at the Aud,Just spent more than 45 minutes looking at the Aud,neutral
21552,Sad thing is samsam loves my sexy crooked body! And she wants to **** it now,Sad thing is samsam loves my sexy crooked body! And she wants to **** it now,neutral
4272,this is how we do itttt,this is how we do itttt,neutral
